epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3243,1.50476,1.308,1.15121,0.6795,0.46193,0.57473,0.33083,1.51744,1.43545,1.20424,0.067768,0.000996865,0.000996865
2,136.109,1.5052,1.10153,1.17561,0.7657,0.56699,0.64649,0.38223,1.43863,1.04047,1.16595,0.0354234,0.00198557,0.00198557
3,201.888,1.48387,1.0669,1.16146,0.77509,0.57206,0.651,0.39071,1.40245,0.99237,1.1509,0.00306745,0.00296296,0.00296296
4,270.606,1.44401,1.01893,1.14109,0.77787,0.5941,0.66781,0.40816,1.33641,1.03205,1.11536,0.00294909,0.00294909,0.00294909
5,339.238,1.41953,0.98827,1.13421,0.77881,0.55514,0.64146,0.39942,1.36862,1.00311,1.12591,0.00293211,0.00293211,0.00293211
6,408.321,1.37156,0.94485,1.108,0.78705,0.60368,0.68022,0.43128,1.28676,0.89423,1.09071,0.00291514,0.00291514,0.00291514
7,477.999,1.35141,0.91251,1.09774,0.82466,0.62052,0.7158,0.45761,1.2585,0.81814,1.0711,0.00289817,0.00289817,0.00289817
8,548.736,1.33418,0.89734,1.08921,0.83873,0.61282,0.71109,0.45865,1.24328,0.83671,1.06762,0.0028812,0.0028812,0.0028812
9,619.022,1.31181,0.88308,1.08103,0.80498,0.64174,0.71842,0.46527,1.21411,0.82744,1.05741,0.00286423,0.00286423,0.00286423
10,689.558,1.29175,0.8614,1.07191,0.84646,0.63136,0.72222,0.46855,1.21391,0.8005,1.05979,0.00284726,0.00284726,0.00284726
11,756.884,1.28482,0.85027,1.07038,0.84391,0.64226,0.73211,0.47344,1.21994,0.7925,1.05898,0.00283029,0.00283029,0.00283029
12,822.928,1.26682,0.836,1.06265,0.85103,0.63891,0.73843,0.48738,1.17052,0.76506,1.03855,0.00281331,0.00281331,0.00281331
13,888.953,1.25772,0.82696,1.05998,0.85233,0.63411,0.7337,0.47921,1.20058,0.78523,1.0476,0.00279634,0.00279634,0.00279634
14,954.887,1.25041,0.81862,1.059,0.83273,0.6343,0.72837,0.47767,1.18981,0.78123,1.04522,0.00277937,0.00277937,0.00277937
15,1020.41,1.23988,0.811,1.05204,0.8409,0.65733,0.74643,0.49759,1.15721,0.74427,1.03233,0.0027624,0.0027624,0.0027624
16,1086.29,1.2361,0.79965,1.04594,0.84987,0.65549,0.74858,0.49504,1.16732,0.73279,1.04098,0.00274543,0.00274543,0.00274543
17,1152.29,1.23562,0.79785,1.04702,0.85255,0.64403,0.74035,0.49134,1.1684,0.75337,1.03553,0.00272846,0.00272846,0.00272846
18,1218.54,1.22301,0.79279,1.0417,0.82943,0.66189,0.74776,0.49529,1.16039,0.7494,1.02962,0.00271149,0.00271149,0.00271149
19,1284.35,1.21877,0.78638,1.03733,0.85731,0.66458,0.759,0.50358,1.13857,0.71208,1.02353,0.00269451,0.00269451,0.00269451
20,1350.52,1.20944,0.77789,1.03524,0.84518,0.65723,0.75762,0.50017,1.1605,0.73867,1.02667,0.00267754,0.00267754,0.00267754
21,1416.28,1.19654,0.76564,1.03057,0.85399,0.67097,0.75716,0.50912,1.1355,0.71615,1.01638,0.00266057,0.00266057,0.00266057
22,1482.61,1.19372,0.76283,1.03323,0.85332,0.66541,0.76073,0.50943,1.13244,0.70419,1.02,0.0026436,0.0026436,0.0026436
23,1548.56,1.18664,0.75902,1.02779,0.86335,0.66437,0.7584,0.50983,1.12902,0.70971,1.01946,0.00262663,0.00262663,0.00262663
24,1614.37,1.18627,0.76241,1.02424,0.85905,0.67364,0.76227,0.51077,1.1211,0.69366,1.01476,0.00260966,0.00260966,0.00260966
25,1679.98,1.18709,0.75152,1.0263,0.84505,0.68019,0.7625,0.51534,1.11454,0.69898,1.01532,0.00259269,0.00259269,0.00259269
26,1745.99,1.17163,0.7455,1.01944,0.86683,0.67115,0.77195,0.5189,1.10368,0.67926,1.01003,0.00257571,0.00257571,0.00257571
27,1811.81,1.17531,0.74779,1.02158,0.87575,0.66906,0.77029,0.51698,1.10784,0.68609,1.01401,0.00255874,0.00255874,0.00255874
28,1877.48,1.16346,0.73835,1.01517,0.84586,0.68917,0.77117,0.51889,1.10615,0.69049,1.01213,0.00254177,0.00254177,0.00254177
29,1943.28,1.16667,0.74031,1.01892,0.86844,0.67312,0.7667,0.52231,1.09571,0.67319,1.00778,0.0025248,0.0025248,0.0025248
30,2009.01,1.15348,0.72691,1.01234,0.85017,0.69082,0.77125,0.52665,1.08757,0.66644,1.00739,0.00250783,0.00250783,0.00250783
31,2075.38,1.15325,0.72638,1.01332,0.86423,0.682,0.76708,0.52687,1.084,0.67094,1.0024,0.00249086,0.00249086,0.00249086
32,2141.55,1.15476,0.72558,1.01401,0.86288,0.68552,0.77085,0.52906,1.07917,0.65948,0.99869,0.00247389,0.00247389,0.00247389
33,2207.29,1.13612,0.71861,1.00468,0.86173,0.6859,0.77393,0.52858,1.08315,0.66174,1.00073,0.00245691,0.00245691,0.00245691
34,2273.07,1.13493,0.7152,1.00477,0.87172,0.6871,0.77824,0.53116,1.07098,0.65667,0.99546,0.00243994,0.00243994,0.00243994
35,2339.24,1.14165,0.71186,1.00477,0.87346,0.67708,0.77421,0.534,1.06478,0.65555,0.99334,0.00242297,0.00242297,0.00242297
36,2405.62,1.13695,0.70987,1.00414,0.87566,0.68397,0.77417,0.53196,1.07149,0.64843,0.99844,0.002406,0.002406,0.002406
37,2471.61,1.13729,0.70964,1.00515,0.85466,0.6958,0.77494,0.53167,1.06435,0.64655,0.99366,0.00238903,0.00238903,0.00238903
38,2537.45,1.13093,0.70243,1.0008,0.8777,0.68906,0.77956,0.53658,1.06421,0.64521,0.99388,0.00237206,0.00237206,0.00237206
39,2603.59,1.111,0.68975,0.99423,0.86401,0.70311,0.78247,0.53891,1.06182,0.63685,0.99323,0.00235509,0.00235509,0.00235509
40,2669.75,1.11811,0.69746,0.99822,0.87334,0.69359,0.78225,0.53881,1.0571,0.63774,0.99116,0.00233811,0.00233811,0.00233811
41,2735.61,1.11622,0.69442,0.99335,0.87669,0.69483,0.78311,0.54342,1.04784,0.63851,0.9885,0.00232114,0.00232114,0.00232114
42,2801.75,1.117,0.68987,0.99517,0.86703,0.70393,0.7839,0.54136,1.05129,0.6256,0.98843,0.00230417,0.00230417,0.00230417
43,2867.69,1.10623,0.68254,0.99134,0.86631,0.70917,0.78933,0.54427,1.04292,0.62922,0.9833,0.0022872,0.0022872,0.0022872
44,2933.23,1.1038,0.683,0.99288,0.88939,0.69547,0.78945,0.5442,1.04241,0.6252,0.98703,0.00227023,0.00227023,0.00227023
45,2999.28,1.11004,0.68402,0.99093,0.8777,0.69704,0.78842,0.54479,1.04997,0.6321,0.98414,0.00225326,0.00225326,0.00225326
46,3065.06,1.10276,0.68079,0.98919,0.88823,0.69413,0.78601,0.54369,1.04174,0.62488,0.98477,0.00223629,0.00223629,0.00223629
47,3131.22,1.09975,0.68254,0.99079,0.86808,0.7032,0.78454,0.5436,1.04112,0.62658,0.98548,0.00221931,0.00221931,0.00221931
48,3196.89,1.081,0.67122,0.98514,0.89007,0.69396,0.79124,0.54696,1.04102,0.62093,0.98493,0.00220234,0.00220234,0.00220234
49,3262.69,1.0871,0.67063,0.98259,0.89648,0.69413,0.78802,0.54742,1.03688,0.62517,0.98385,0.00218537,0.00218537,0.00218537
50,3328.53,1.08051,0.66726,0.97834,0.86948,0.70019,0.78706,0.54804,1.03946,0.62191,0.98305,0.0021684,0.0021684,0.0021684
51,3394.59,1.0868,0.66601,0.98486,0.87384,0.70052,0.78883,0.54811,1.03676,0.61568,0.98422,0.00215143,0.00215143,0.00215143
52,3460.47,1.08949,0.67564,0.98589,0.88638,0.69857,0.79006,0.55273,1.02925,0.61698,0.98202,0.00213446,0.00213446,0.00213446
53,3526.1,1.07762,0.66521,0.98241,0.8859,0.70505,0.79457,0.55465,1.02221,0.60419,0.98007,0.00211749,0.00211749,0.00211749
54,3592.36,1.07061,0.65878,0.97365,0.88893,0.70058,0.79261,0.55287,1.02196,0.60787,0.97823,0.00210051,0.00210051,0.00210051
55,3658.48,1.08064,0.6629,0.98161,0.88229,0.69057,0.78865,0.55267,1.02032,0.60963,0.9788,0.00208354,0.00208354,0.00208354
56,3724.16,1.07696,0.66008,0.97689,0.8781,0.70802,0.79523,0.55383,1.02234,0.60561,0.98161,0.00206657,0.00206657,0.00206657
57,3789.8,1.06594,0.65081,0.9772,0.88886,0.70134,0.79251,0.55688,1.01983,0.59837,0.9783,0.0020496,0.0020496,0.0020496
58,3855.66,1.07383,0.6549,0.97485,0.89971,0.70649,0.79701,0.55782,1.01368,0.59752,0.97695,0.00203263,0.00203263,0.00203263
59,3921.95,1.07208,0.65518,0.97747,0.88724,0.70589,0.79336,0.55684,1.01803,0.60218,0.97615,0.00201566,0.00201566,0.00201566
60,3987.75,1.06238,0.64963,0.97425,0.88244,0.7027,0.79237,0.55772,1.0107,0.59755,0.97632,0.00199869,0.00199869,0.00199869
61,4053.56,1.06756,0.6488,0.97346,0.88619,0.70856,0.79323,0.5581,1.00938,0.5956,0.97626,0.00198171,0.00198171,0.00198171
62,4119.44,1.06177,0.64754,0.97213,0.89573,0.70639,0.79925,0.56096,1.00936,0.59233,0.97794,0.00196474,0.00196474,0.00196474
63,4185.02,1.05841,0.64532,0.97525,0.88179,0.70995,0.79704,0.56045,1.00659,0.5926,0.97451,0.00194777,0.00194777,0.00194777
64,4250.77,1.04569,0.63996,0.97068,0.88607,0.71287,0.79699,0.56107,1.00499,0.58903,0.97237,0.0019308,0.0019308,0.0019308
65,4316.48,1.04995,0.63694,0.97115,0.88289,0.71219,0.79818,0.56061,1.00435,0.59096,0.97173,0.00191383,0.00191383,0.00191383
66,4382.06,1.04587,0.63559,0.96857,0.88609,0.70881,0.79753,0.56494,0.9927,0.58879,0.96901,0.00189686,0.00189686,0.00189686
67,4447.51,1.04744,0.63453,0.96942,0.88822,0.70843,0.79653,0.56348,0.9949,0.58309,0.97037,0.00187989,0.00187989,0.00187989
68,4513.14,1.04577,0.63706,0.96718,0.89204,0.71533,0.79941,0.56507,0.99584,0.58385,0.96966,0.00186291,0.00186291,0.00186291
69,4579.22,1.04753,0.63627,0.96744,0.88945,0.71368,0.80011,0.56405,0.99848,0.58496,0.97201,0.00184594,0.00184594,0.00184594
70,4644.5,1.02848,0.62317,0.96268,0.89711,0.71366,0.8019,0.56788,0.9984,0.58007,0.96911,0.00182897,0.00182897,0.00182897
71,4710.18,1.03648,0.63147,0.96571,0.87466,0.72097,0.80174,0.56809,0.99762,0.57803,0.97006,0.001812,0.001812,0.001812
72,4775.85,1.03809,0.62972,0.96393,0.88365,0.71841,0.80266,0.56739,0.99433,0.5724,0.96668,0.00179503,0.00179503,0.00179503
73,4841.91,1.02989,0.6248,0.96295,0.90271,0.70957,0.80554,0.56742,0.99699,0.57621,0.97084,0.00177806,0.00177806,0.00177806
74,4907.55,1.03461,0.62574,0.96415,0.88872,0.71748,0.80048,0.5669,0.99773,0.57983,0.97205,0.00176109,0.00176109,0.00176109
75,4972.92,1.02278,0.62142,0.96129,0.88476,0.72495,0.80313,0.57023,0.98758,0.57268,0.96773,0.00174411,0.00174411,0.00174411
76,5038.14,1.02527,0.62193,0.95956,0.89244,0.7139,0.80395,0.56935,0.98802,0.57611,0.96659,0.00172714,0.00172714,0.00172714
77,5104.16,1.02595,0.62101,0.95896,0.89229,0.71413,0.80213,0.57025,0.98117,0.57062,0.96551,0.00171017,0.00171017,0.00171017
78,5169.73,1.02886,0.62232,0.96165,0.87482,0.72574,0.80532,0.57154,0.9808,0.56875,0.9652,0.0016932,0.0016932,0.0016932
79,5235.24,1.02915,0.6202,0.95964,0.87813,0.71978,0.80321,0.57119,0.98316,0.57098,0.96487,0.00167623,0.00167623,0.00167623
80,5301.05,1.02057,0.61532,0.9556,0.88625,0.7215,0.80678,0.57346,0.98256,0.57155,0.96555,0.00165926,0.00165926,0.00165926
81,5366.85,1.01036,0.6106,0.95481,0.89065,0.72557,0.80665,0.57383,0.97877,0.5656,0.96721,0.00164229,0.00164229,0.00164229
82,5432.39,1.01712,0.61117,0.95594,0.89388,0.72269,0.80732,0.5748,0.97917,0.56358,0.96615,0.00162531,0.00162531,0.00162531
83,5498.01,1.01873,0.61429,0.95763,0.88334,0.73129,0.80935,0.57478,0.97906,0.56245,0.96543,0.00160834,0.00160834,0.00160834
84,5563.73,1.00772,0.60903,0.95519,0.88476,0.72281,0.80653,0.57647,0.96845,0.56305,0.95904,0.00159137,0.00159137,0.00159137
85,5629.28,1.01982,0.61353,0.95534,0.88612,0.71912,0.80679,0.57366,0.97774,0.56116,0.96199,0.0015744,0.0015744,0.0015744
86,5694.85,1.00789,0.60827,0.95505,0.89023,0.71478,0.80608,0.57556,0.97193,0.5611,0.96104,0.00155743,0.00155743,0.00155743
87,5760.35,1.00068,0.60191,0.95091,0.89298,0.71818,0.8059,0.57653,0.97078,0.56119,0.96168,0.00154046,0.00154046,0.00154046
88,5826.02,1.0114,0.61192,0.95659,0.89557,0.71993,0.80896,0.57721,0.97803,0.56062,0.96245,0.00152349,0.00152349,0.00152349
89,5891.82,0.99709,0.60245,0.95095,0.90301,0.71483,0.80953,0.57754,0.97131,0.55677,0.96228,0.00150651,0.00150651,0.00150651
90,5957.07,1.00201,0.60504,0.95029,0.8998,0.71735,0.80787,0.57746,0.97571,0.56202,0.96325,0.00148954,0.00148954,0.00148954
91,6023.17,1.00037,0.60373,0.94797,0.90575,0.71966,0.8101,0.5786,0.97518,0.56004,0.96399,0.00147257,0.00147257,0.00147257
92,6088.98,1.00187,0.59973,0.94877,0.89564,0.7192,0.80877,0.57794,0.97139,0.55472,0.96151,0.0014556,0.0014556,0.0014556
93,6154.53,0.99732,0.5974,0.94537,0.89582,0.7218,0.80953,0.57788,0.9727,0.55135,0.96266,0.00143863,0.00143863,0.00143863
94,6220.12,0.99989,0.59575,0.94786,0.8856,0.72636,0.80863,0.57859,0.9692,0.55229,0.9605,0.00142166,0.00142166,0.00142166
95,6286.06,0.99407,0.59466,0.94531,0.89586,0.72388,0.81055,0.5805,0.96973,0.54871,0.9602,0.00140469,0.00140469,0.00140469
96,6352.22,0.98087,0.58627,0.94315,0.90368,0.71838,0.81082,0.58045,0.96847,0.54991,0.95982,0.00138771,0.00138771,0.00138771
97,6417.9,0.98404,0.58664,0.94502,0.90364,0.72639,0.81195,0.58245,0.96844,0.55075,0.96047,0.00137074,0.00137074,0.00137074
98,6483.65,0.99656,0.59056,0.94664,0.89795,0.73527,0.81242,0.58173,0.96493,0.54923,0.95762,0.00135377,0.00135377,0.00135377
99,6549.48,0.98736,0.58968,0.94172,0.89016,0.73074,0.8092,0.58091,0.96876,0.54872,0.96053,0.0013368,0.0013368,0.0013368
100,6615.35,0.99089,0.59323,0.94547,0.89749,0.72449,0.80858,0.58072,0.96919,0.55002,0.9607,0.00131983,0.00131983,0.00131983
101,6680.97,0.9845,0.58599,0.94271,0.90065,0.72939,0.81159,0.58132,0.97085,0.5485,0.96164,0.00130286,0.00130286,0.00130286
102,6746.99,0.97634,0.58293,0.94262,0.89587,0.72829,0.81237,0.58309,0.96565,0.54658,0.95859,0.00128589,0.00128589,0.00128589
103,6812.6,0.98223,0.58663,0.94385,0.90513,0.72495,0.81244,0.58384,0.96593,0.54855,0.9596,0.00126891,0.00126891,0.00126891
104,6878.5,0.98188,0.58711,0.94236,0.8987,0.7258,0.81118,0.58193,0.96619,0.54988,0.9609,0.00125194,0.00125194,0.00125194
105,6944.52,0.97914,0.58337,0.93969,0.90692,0.72462,0.81075,0.58067,0.96807,0.55054,0.96118,0.00123497,0.00123497,0.00123497
106,7010.05,0.97979,0.58147,0.9439,0.91032,0.72064,0.81155,0.58169,0.9704,0.55024,0.95998,0.001218,0.001218,0.001218
107,7075.52,0.96675,0.5801,0.93985,0.91585,0.71899,0.81311,0.58267,0.96653,0.54848,0.96005,0.00120103,0.00120103,0.00120103
108,7141.11,0.97508,0.58037,0.93907,0.90416,0.72738,0.81362,0.58379,0.96508,0.54671,0.95746,0.00118406,0.00118406,0.00118406
109,7206.86,0.9717,0.5769,0.93805,0.90385,0.72783,0.81241,0.58243,0.96624,0.54728,0.95909,0.00116709,0.00116709,0.00116709
110,7272.65,0.97046,0.57521,0.93642,0.90544,0.72231,0.81266,0.58422,0.96388,0.5418,0.9581,0.00115011,0.00115011,0.00115011
111,7338.46,0.97132,0.57995,0.93971,0.90635,0.72411,0.81315,0.58476,0.96314,0.54406,0.95807,0.00113314,0.00113314,0.00113314
112,7403.98,0.97091,0.57726,0.93842,0.90777,0.72465,0.81492,0.58522,0.96126,0.54295,0.95728,0.00111617,0.00111617,0.00111617
113,7469.86,0.97208,0.57578,0.93911,0.89819,0.73056,0.81427,0.58537,0.95947,0.54328,0.95701,0.0010992,0.0010992,0.0010992
114,7535.83,0.96542,0.57587,0.9383,0.90444,0.72602,0.81323,0.58578,0.95772,0.54281,0.95587,0.00108223,0.00108223,0.00108223
