epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6306,1.03312,1.25451,1.18361,0.76059,0.67644,0.77659,0.47023,1.21039,1.02232,1.20402,0.0677896,0.000996198,0.000996198
2,112.589,0.99506,0.78974,1.15186,0.82551,0.81729,0.88636,0.54292,1.20848,0.94329,1.17755,0.035445,0.0019849,0.0019849
3,164.918,0.94208,0.69838,1.12607,0.82405,0.77058,0.83481,0.52524,1.1351,0.84732,1.1766,0.00308904,0.0029623,0.0029623
4,216.77,0.90496,0.65714,1.09943,0.86866,0.85171,0.89711,0.58915,1.07285,0.71541,1.09886,0.00294909,0.00294909,0.00294909
5,268.705,0.86176,0.61648,1.08969,0.91794,0.85099,0.92899,0.60727,1.05525,0.72416,1.08964,0.00293211,0.00293211,0.00293211
6,320.695,0.83252,0.57801,1.06666,0.92015,0.89184,0.93892,0.65051,0.98628,0.56636,1.06147,0.00291514,0.00291514,0.00291514
7,373.127,0.81734,0.55729,1.05467,0.93373,0.92049,0.96044,0.68309,0.91676,0.51252,1.00805,0.00289817,0.00289817,0.00289817
8,425.402,0.78868,0.52843,1.04697,0.91392,0.88204,0.9412,0.6523,0.99196,0.60369,1.07447,0.0028812,0.0028812,0.0028812
9,477.774,0.78287,0.52495,1.04045,0.93551,0.89874,0.95326,0.67084,0.88854,0.53749,0.99826,0.00286423,0.00286423,0.00286423
10,530.104,0.7681,0.49791,1.03504,0.95337,0.91644,0.96449,0.69792,0.8669,0.51134,0.99874,0.00284726,0.00284726,0.00284726
11,582.548,0.76386,0.49419,1.03425,0.87456,0.89229,0.94184,0.64913,0.97371,0.65557,1.08368,0.00283029,0.00283029,0.00283029
12,634.934,0.73344,0.46651,1.02324,0.9121,0.9404,0.96536,0.69394,0.87668,0.48875,0.97626,0.00281331,0.00281331,0.00281331
13,687.189,0.74111,0.47242,1.02365,0.9269,0.94921,0.96175,0.70543,0.81001,0.4749,0.96814,0.00279634,0.00279634,0.00279634
14,739.335,0.71727,0.46125,1.0115,0.96421,0.93309,0.97571,0.71019,0.81075,0.44208,0.92723,0.00277937,0.00277937,0.00277937
15,791.523,0.70594,0.45473,1.01908,0.92922,0.9629,0.97109,0.70374,0.82167,0.45457,0.92864,0.0027624,0.0027624,0.0027624
16,842.95,0.71596,0.44711,1.01451,0.9443,0.9553,0.97401,0.7376,0.76908,0.42674,0.92344,0.00274543,0.00274543,0.00274543
17,895.228,0.70421,0.44619,1.00942,0.94794,0.9579,0.97423,0.7119,0.87749,0.48105,1.00309,0.00272846,0.00272846,0.00272846
18,947.138,0.68828,0.43661,0.99845,0.94976,0.96402,0.97426,0.7369,0.76421,0.43372,0.91116,0.00271149,0.00271149,0.00271149
19,999.045,0.69548,0.44213,0.99949,0.93929,0.92731,0.96397,0.73213,0.77813,0.43095,0.91314,0.00269451,0.00269451,0.00269451
20,1050.82,0.68367,0.42709,1.00137,0.96129,0.95912,0.97462,0.73459,0.74654,0.40746,0.89918,0.00267754,0.00267754,0.00267754
21,1102.38,0.68762,0.42402,1.00005,0.94219,0.96481,0.97432,0.75514,0.7299,0.40782,0.89632,0.00266057,0.00266057,0.00266057
22,1154.66,0.66564,0.42088,0.99035,0.95876,0.96991,0.97869,0.75703,0.73426,0.4081,0.89949,0.0026436,0.0026436,0.0026436
23,1206.39,0.65934,0.41105,0.99099,0.97137,0.93884,0.97688,0.7541,0.73193,0.41283,0.89333,0.00262663,0.00262663,0.00262663
24,1258.47,0.67132,0.42027,0.9931,0.97756,0.96084,0.98084,0.74531,0.74044,0.39207,0.89325,0.00260966,0.00260966,0.00260966
25,1310.36,0.66419,0.41312,0.98965,0.97517,0.95307,0.98137,0.74356,0.73595,0.39973,0.89535,0.00259269,0.00259269,0.00259269
26,1362.4,0.65681,0.41133,0.99022,0.96146,0.9536,0.97388,0.75382,0.70501,0.40665,0.88233,0.00257571,0.00257571,0.00257571
27,1414.32,0.65798,0.40789,0.98466,0.96675,0.969,0.98053,0.75046,0.72796,0.37618,0.88791,0.00255874,0.00255874,0.00255874
28,1466.26,0.65257,0.39999,0.98094,0.97187,0.96613,0.98112,0.76644,0.74403,0.38693,0.90681,0.00254177,0.00254177,0.00254177
29,1518.12,0.6564,0.40451,0.98534,0.96934,0.96183,0.97971,0.75217,0.72779,0.37985,0.87859,0.0025248,0.0025248,0.0025248
30,1569.92,0.65546,0.39961,0.98542,0.96732,0.96521,0.97525,0.76798,0.69985,0.37944,0.87328,0.00250783,0.00250783,0.00250783
31,1622.27,0.64166,0.39335,0.9808,0.97898,0.96348,0.98148,0.75986,0.7258,0.38563,0.8853,0.00249086,0.00249086,0.00249086
32,1674.17,0.65214,0.40246,0.98302,0.96671,0.95845,0.97935,0.76021,0.72266,0.39711,0.88223,0.00247389,0.00247389,0.00247389
33,1725.96,0.63442,0.3867,0.97909,0.97042,0.96619,0.98062,0.76577,0.72441,0.37113,0.89639,0.00245691,0.00245691,0.00245691
34,1777.69,0.64579,0.3869,0.9795,0.94921,0.96947,0.97776,0.765,0.70327,0.37044,0.88616,0.00243994,0.00243994,0.00243994
35,1829.27,0.63683,0.38607,0.98292,0.9702,0.95299,0.97989,0.77151,0.69036,0.36556,0.88783,0.00242297,0.00242297,0.00242297
36,1881.37,0.62528,0.37765,0.97737,0.96959,0.96136,0.97885,0.76312,0.71277,0.38443,0.88411,0.002406,0.002406,0.002406
