epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.728,1.67461,1.77155,1.37447,0.76675,0.63666,0.72406,0.36954,1.59929,1.41057,1.26804,0.0677473,0.000997506,0.000997506
2,1056.19,1.54621,1.20992,1.28998,0.76423,0.6986,0.7769,0.44299,1.5694,1.21496,1.26535,0.0353892,0.00197279,0.00197279
3,1555.53,1.47159,1.13195,1.24995,0.76408,0.64091,0.73063,0.436,1.38934,1.01555,1.14173,0.00300644,0.00292332,0.00292332
4,2043.51,1.3793,1.02336,1.20646,0.7619,0.71002,0.73872,0.43117,1.46876,1.00352,1.16136,0.00288863,0.00288863,0.00288863
5,2533.62,1.33676,0.96034,1.17682,0.83129,0.79075,0.85633,0.51303,1.39348,0.82605,1.10888,0.0028515,0.0028515,0.0028515
6,3044.1,1.28848,0.90701,1.14667,0.80768,0.75006,0.8061,0.49574,1.29298,0.89342,1.07285,0.00281438,0.00281438,0.00281438
7,3534.87,1.24614,0.86405,1.12701,0.79953,0.80621,0.83786,0.53061,1.27383,0.85074,1.05615,0.00277725,0.00277725,0.00277725
8,4027.1,1.20561,0.82001,1.11483,0.8109,0.78622,0.82699,0.53544,1.27373,0.79014,1.05421,0.00274012,0.00274012,0.00274012
9,4515.67,1.19205,0.81328,1.10678,0.80486,0.80076,0.85504,0.52704,1.33361,0.83962,1.08078,0.002703,0.002703,0.002703
10,5012.48,1.17189,0.78739,1.10546,0.78387,0.79876,0.82712,0.52743,1.25068,0.94645,1.03822,0.00266587,0.00266587,0.00266587
11,5505.1,1.14872,0.76199,1.08984,0.89193,0.78225,0.86117,0.55849,1.23362,0.73235,1.03506,0.00262875,0.00262875,0.00262875
12,5996.13,1.12924,0.74929,1.07759,0.81487,0.85796,0.86263,0.5641,1.2012,0.697,1.0229,0.00259163,0.00259163,0.00259163
13,6486.5,1.12029,0.7262,1.06727,0.86233,0.83097,0.90129,0.59019,1.2252,0.68457,1.03277,0.0025545,0.0025545,0.0025545
14,6978.32,1.09196,0.70394,1.06143,0.84011,0.8149,0.86838,0.5826,1.18227,0.69251,1.00727,0.00251738,0.00251738,0.00251738
15,7470.91,1.09259,0.7078,1.06048,0.84131,0.79768,0.85556,0.57192,1.16829,0.72522,1.00573,0.00248025,0.00248025,0.00248025
16,7963.04,1.08341,0.69738,1.05194,0.81156,0.78591,0.84191,0.54687,1.2186,0.77681,1.02599,0.00244312,0.00244312,0.00244312
17,8447.76,1.05522,0.67045,1.04527,0.87233,0.77557,0.84492,0.56561,1.16686,0.7684,1.00575,0.002406,0.002406,0.002406
18,8923.66,1.0483,0.67219,1.0455,0.83598,0.8249,0.87374,0.58409,1.16635,0.64625,0.99768,0.00236888,0.00236888,0.00236888
19,9405.22,1.02931,0.65288,1.03473,0.81915,0.83103,0.87493,0.59155,1.15365,0.66456,0.99908,0.00233175,0.00233175,0.00233175
20,9889.55,1.01765,0.63869,1.02865,0.82658,0.80769,0.85987,0.57663,1.15015,0.70905,0.99481,0.00229462,0.00229462,0.00229462
21,10376.1,1.00949,0.62976,1.02641,0.82665,0.81941,0.88809,0.59243,1.18837,0.71597,1.00436,0.0022575,0.0022575,0.0022575
22,10859.5,0.99782,0.62423,1.01988,0.79018,0.78874,0.85205,0.58881,1.11626,0.71198,0.99129,0.00222038,0.00222038,0.00222038
23,11344.5,0.99786,0.62387,1.01598,0.84334,0.83076,0.88014,0.59333,1.16597,0.68192,1.00412,0.00218325,0.00218325,0.00218325
24,11822.7,0.99178,0.60934,1.01668,0.83988,0.87068,0.88508,0.59604,1.13314,0.63622,0.98594,0.00214613,0.00214613,0.00214613
25,12304.4,0.98371,0.60278,1.01019,0.83767,0.84749,0.8861,0.58729,1.19162,0.66771,1.00881,0.002109,0.002109,0.002109
26,12786.9,0.97622,0.59508,1.00836,0.86833,0.80879,0.85895,0.58055,1.1261,0.69254,0.98736,0.00207188,0.00207188,0.00207188
27,13260.8,0.9602,0.58484,1.00167,0.79883,0.84914,0.87472,0.59319,1.13739,0.67419,0.98802,0.00203475,0.00203475,0.00203475
28,13743,0.96754,0.58505,1.00746,0.8117,0.82811,0.8646,0.58329,1.15546,0.66646,0.99462,0.00199762,0.00199762,0.00199762
29,14229.4,0.9487,0.57101,0.99238,0.86183,0.79982,0.87731,0.58458,1.15865,0.66827,0.99141,0.0019605,0.0019605,0.0019605
30,14709.7,0.95226,0.56953,0.99878,0.8276,0.81907,0.85578,0.58475,1.13885,0.66114,0.98648,0.00192337,0.00192337,0.00192337
31,15191.6,0.93485,0.56365,0.98984,0.81924,0.84564,0.88306,0.60924,1.10245,0.61885,0.97886,0.00188625,0.00188625,0.00188625
32,15678.6,0.94998,0.56672,0.99385,0.80483,0.83371,0.84406,0.57685,1.11517,0.65727,0.97954,0.00184913,0.00184913,0.00184913
33,16164.5,0.92634,0.55237,0.98752,0.77034,0.86736,0.86332,0.58618,1.12552,0.65244,0.9806,0.001812,0.001812,0.001812
34,16648.4,0.92488,0.54981,0.98392,0.81221,0.80243,0.855,0.58506,1.12023,0.6826,0.97711,0.00177488,0.00177488,0.00177488
35,17148.8,0.92794,0.55083,0.98802,0.84377,0.79855,0.85251,0.59035,1.11697,0.66154,0.97696,0.00173775,0.00173775,0.00173775
36,17635.7,0.90877,0.53876,0.97837,0.7903,0.80017,0.84746,0.57973,1.12209,0.69658,0.97651,0.00170063,0.00170063,0.00170063
37,18123.9,0.90799,0.53425,0.97616,0.82783,0.84829,0.87389,0.60691,1.10099,0.63757,0.97026,0.0016635,0.0016635,0.0016635
38,18609.7,0.90279,0.5296,0.97725,0.82198,0.78651,0.86514,0.58758,1.12639,0.68992,0.98632,0.00162637,0.00162637,0.00162637
